skill,count
'communication',4454
'leadership',2348
'excel',2160
'problem-solving'],2138
'time management',2123
'tableau',2008
'sql',1970
['data analysis',1891
'business analysis',1800
'communication'],449
['excel',424
['sql',385
'leadership'],349
'data analysis',329
['business analysis',314
['communication',223
['python',174
['communication'],172
'power bi',157
'data visualization',152
'statistics',149
'time management'],142
'decision making'],107
'r',95
'critical thinking'],87
'teamwork'],86
'negotiation'],79
['tableau',67
'creativity'],62
'azure',60
['leadership'],60
'critical thinking',58
'etl',57
'data mining',52
'sas',52
['excel'],44
['power bi',44
['r',42
'adaptability'],36
'machine learning',34
'teamwork',34
'aws',31
'html',27
'excel'],27
'decision making',25
['data analysis'],22
'javascript',21
'java',21
'data engineering',19
'creativity',18
'big data',18
'problem-solving',15
'data analysis'],14
['sql'],14
'statistics'],14
['data visualization',13
['statistics',13
'linux',13
'spark',12
['leadership',11
['azure',11
'css',10
['creativity'],10
'react',10
['teamwork'],10
['machine learning',9
'adaptability',9
'etl'],9
'data mining'],9
['html',8
['decision making'],8
['aws',8
'cloud computing',7
'hadoop',6
['statistics'],6
'azure'],6
'matlab',6
'sas'],5
['negotiation'],5
['html'],4
['java',4
'kubernetes',4
['critical thinking'],4
'aws'],4
'javascript'],4
'tableau'],4
['tableau'],4
'data visualization'],4
'matlab'],3
'html'],3
'data engineering'],3
['aws'],3
'docker',3
['r'],3
'power bi'],3
['linux'],3
['react',3
'java'],3
['critical thinking',2
'django',2
['teamwork',2
['javascript',2
['adaptability'],2
'linux'],2
'node.js'],2
'react'],2
['azure'],2
['matlab'],2
'deep learning'],2
['linux',2
['time management'],2
'bash',1
['sas',1
['matlab',1
['etl',1
['decision making',1
['machine learning'],1
['sas'],1
['react'],1
['cloud computing',1
'r'],1
['data mining',1
['big data',1
'deep learning',1
['java'],1
['problem-solving',1
['etl'],1
'machine learning'],1
